dttm,year,month,day,hour,temp,pressure,humidity,wind_speed,wind_deg,cloud,generation_biomass,generation_fossil_brown_coal_lignite,generation_fossil_coal_derived_gas,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_oil_shale,generation_fossil_peat,generation_geothermal,generation_hydro_pumped_storage_consumption,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_marine,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,total_load_actual,price_day_ahead,price_actual
2015-01-01 12:00:00+01:00,2015,1,1,12,283.249,1038,100,2,272,2,428,303,0,3784,4220,167,0,0,0,972,1052,1204,0,7097,41,75,3885,209,0,2906,3842,2819,24180,24133,45.14,60.12
2015-01-01 13:00:00+01:00,2015,1,1,13,283.249,1038,100,2,272,2,425,288,0,3754,4404,167,0,0,0,922,1041,1286,0,7099,40,74,4007,210,0,2923,3812,2830,24797,24713,47.35,62.05
2015-01-01 14:00:00+01:00,2015,1,1,14,283.804,1035,57,3,275,2,423,260,0,3779,4256,166,0,0,0,941,1028,1027,0,7097,40,76,3973,210,0,2945,3699,2851,25222,24672,47.35,62.06
2015-01-01 15:00:00+01:00,2015,1,1,15,284.317,1035,58,4,263,2,421,183,0,3708,4038,160,0,0,0,1069,1023,1151,0,7096,40,76,3818,210,0,2709,3369,2822,24173,23528,43.61,59.76
2015-01-01 16:00:00+01:00,2015,1,1,16,283.72,1035,62,4,267,2,422,256,0,3813,4191,163,0,0,0,970,1032,1156,0,7095,41,75,3088,211,0,2552,2615,2562,23659,23118,44.91,61.18
2015-01-01 17:00:00+01:00,2015,1,1,17,284.602,1035,62,5,250,2,426,322,0,3967,4707,165,0,0,0,798,1036,1626,0,7095,41,75,1467,208,0,2699,1387,2578,23982,23606,48.1,64.74
2015-01-01 18:00:00+01:00,2015,1,1,18,284.376,1035,65,5,248,2,427,282,0,4756,4756,164,0,0,0,1,1094,3203,0,7096,42,74,404,209,0,2764,399,2824,26981,26447,58.02,74.26
2015-01-01 19:00:00+01:00,2015,1,1,19,284.176,1036,83,4,260,2,442,303,0,4410,4918,147,0,0,0,1,1153,5333,0,7096,42,76,139,208,0,2913,100,2801,28515,28020,61.01,74.24
2015-01-01 20:00:00+01:00,2015,1,1,20,283.945,1036,84,5,256,2,445,318,0,4324,5025,154,0,0,0,0,1214,6183,0,7096,43,74,100,210,0,3118,44,2999,30482,29014,62.69,75.64
2015-01-01 21:00:00+01:00,2015,1,1,21,283.741,1038,100,4,266,2,443,325,0,4684,5043,154,0,0,0,0,1220,6231,0,7096,43,74,75,212,0,3373,26,3185,30739,29571,60.41,73.92
2015-01-01 22:00:00+01:00,2015,1,1,22,283.741,1038,100,4,266,2,440,322,0,4870,4990,154,0,0,0,0,1178,5359,0,7098,43,74,74,210,0,3508,13,3446,29756,29031,58.15,70.53
2015-01-01 23:00:00+01:00,2015,1,1,23,282.779,1038,100,2,296,2,438,320,0,4685,4942,160,0,0,0,0,1095,3511,0,7098,43,74,56,209,0,3527,14,3482,27589,26798,53.6,64.13
2015-01-02 00:00:00+01:00,2015,1,2,0,282.779,1038,100,2,296,2,368,0,0,3189,1291,193,0,0,0,1290,1268,3871,0,7106,45,62,54,169,0,13232,5,13329,27309,27070,10,64.02
2015-01-02 01:00:00+01:00,2015,1,2,1,282.779,1038,100,2,296,2,368,0,0,2902,1190,192,0,0,0,1996,1263,2996,0,7106,45,61,54,167,0,12760,35,12718,25397,24935,7,58.46
2015-01-02 02:00:00+01:00,2015,1,2,2,281.864,1037,100,2,338,2,358,0,0,2772,1023,189,0,0,0,2698,1246,2581,0,7107,44,60,54,167,0,12174,43,12375,23640,23214,5,54.7
2015-01-02 03:00:00+01:00,2015,1,2,3,281.864,1037,100,2,338,2,353,0,0,2936,1016,188,0,0,0,3269,1248,2933,0,7107,44,59,53,181,0,11358,32,11524,22638,22540,4,54.91
2015-01-02 04:00:00+01:00,2015,1,2,4,281.864,1037,100,2,338,2,354,0,0,2893,1103,189,0,0,0,3267,1233,2646,0,7106,44,61,53,181,0,11199,31,11310,22238,22096,4,53.07
2015-01-02 05:00:00+01:00,2015,1,2,5,281.452,1038,100,1,338,2,354,0,0,2889,1120,190,0,0,0,3258,1225,2529,0,7105,44,59,63,171,0,11152,26,11111,22299,22066,4.8,54.23
2015-01-02 06:00:00+01:00,2015,1,2,6,281.452,1038,100,1,338,2,357,0,0,2898,1167,189,0,0,0,3256,1241,2658,0,7105,44,60,55,185,0,11169,21,11303,22660,22275,5,58.22
2015-01-02 07:00:00+01:00,2015,1,2,7,281.452,1038,100,1,338,2,357,0,0,2938,1067,194,0,0,0,2987,1247,2706,0,7105,44,60,54,186,0,11205,136,11297,23449,23025,7.04,67.55
2015-01-02 08:00:00+01:00,2015,1,2,8,282.505,1039,100,1,311,2,359,0,0,2869,1098,196,0,0,0,2447,1274,3090,0,7105,44,59,116,183,0,10920,175,11048,24067,23699,7.04,70.33
2015-01-02 09:00:00+01:00,2015,1,2,9,282.505,1039,100,1,311,2,357,0,0,3090,1293,193,0,0,0,1907,1297,3579,0,7107,44,59,1039,188,0,10491,1092,10711,25737,25834,7.88,71.26
2015-01-02 10:00:00+01:00,2015,1,2,10,282.505,1039,100,1,311,2,377,0,0,2844,1339,200,0,0,0,938,1319,4289,0,7107,45,60,2373,185,0,10156,2319,10379,27883,27927,10.71,75.86
2015-01-02 11:00:00+01:00,2015,1,2,11,284.97,1039,100,2,275,2,376,0,0,2699,1335,199,0,0,0,747,1333,4332,0,7106,44,59,3699,181,0,10421,3451,10423,28969,29072,10,73.65
2015-01-02 12:00:00+01:00,2015,1,2,12,285.379,1037,74,2,272,2,376,0,0,2606,1336,197,0,0,0,864,1324,3619,0,7104,44,60,4154,177,0,11230,4005,10989,28894,29071,7.04,74.19
2015-01-02 13:00:00+01:00,2015,1,2,13,284.97,1039,100,2,275,2,373,0,0,2662,1341,208,0,0,0,906,1281,3392,0,7105,44,61,4074,183,0,11920,4120,11842,29460,29439,7,71.51
2015-01-02 14:00:00+01:00,2015,1,2,14,286.058,1035,50,2,264,2,383,0,0,2729,1354,195,0,0,0,1047,1281,3487,0,7105,44,58,3851,190,0,11819,3794,12078,29389,29241,6.33,71.04
2015-01-02 15:00:00+01:00,2015,1,2,15,286.329,1035,52,2,260,2,391,0,0,2599,1298,195,0,0,0,1491,1284,2984,0,7105,44,57,3619,188,0,11961,3479,11797,28231,27973,5,71.24
2015-01-02 16:00:00+01:00,2015,1,2,16,285.345,1037,74,2,266,2,395,0,0,2996,1184,195,0,0,0,1975,1283,3104,0,7106,44,59,3024,188,0,12025,2788,12061,27716,27320,6.21,70.64
2015-01-02 17:00:00+01:00,2015,1,2,17,286.033,1036,69,2,258,2,394,0,0,3696,1047,195,0,0,0,1760,1295,3102,0,7105,44,59,2053,185,0,12077,1786,12102,27981,27157,9.98,72.85
2015-01-02 18:00:00+01:00,2015,1,2,18,285.468,1036,84,2,260,2,410,0,0,4760,1178,199,0,0,0,595,1324,3886,0,7106,44,64,769,178,0,11276,618,11451,30136,29045,33.15,82.55
2015-01-02 19:00:00+01:00,2015,1,2,19,284.902,1037,100,2,263,2,435,0,0,6030,1345,205,0,0,0,78,1352,5553,0,7104,44,68,266,199,0,10510,170,10619,32754,31967,50,83.33
2015-01-02 20:00:00+01:00,2015,1,2,20,284.632,1038,100,2,274,2,435,0,0,5973,1354,214,0,0,0,68,1369,5604,0,7106,44,69,165,203,0,10406,104,10216,33968,33266,52.01,83.23
2015-01-02 21:00:00+01:00,2015,1,2,21,284.362,1038,100,2,285,2,437,0,0,6082,1348,215,0,0,0,68,1370,5902,0,7107,45,69,137,204,0,10445,93,10470,33870,33668,50.01,79.06
2015-01-02 22:00:00+01:00,2015,1,2,22,284.362,1038,100,2,285,2,437,0,0,5747,1429,217,0,0,0,68,1365,5347,0,7107,45,66,137,204,0,9976,92,10112,32715,32426,45.8,76.2
2015-01-02 23:00:00+01:00,2015,1,2,23,284.362,1038,100,2,285,2,443,0,0,4177,1432,220,0,0,0,68,1323,4969,0,7108,45,64,137,203,0,9527,81,9560,30052,29705,41.74,71.75
2015-01-03 00:00:00+01:00,2015,1,3,0,283.885,1036,84,2,306,2,478,0,0,3801,1798,246,0,0,0,502,1423,3719,0,7096,78,76,62,201,0,9264,2,9313,26323,25564,35.62,66.82
2015-01-03 01:00:00+01:00,2015,1,3,1,283.408,1037,100,3,328,2,463,0,0,3812,1351,245,0,0,0,1048,1392,3482,0,7095,78,68,62,198,0,9135,0,9215,24301,23584,27.1,63.35
2015-01-03 02:00:00+01:00,2015,1,3,2,282.867,1037,100,3,322,2,452,0,0,3745,1258,244,0,0,0,1880,1296,3060,0,7096,79,66,61,201,0,9362,0,9196,22651,22194,25,58.79
2015-01-03 03:00:00+01:00,2015,1,3,3,282.867,1037,100,3,322,2,454,0,0,3638,1196,244,0,0,0,2441,1245,2474,0,7098,79,68,61,208,0,9628,2,9502,21785,21296,20.01,57.44
2015-01-03 04:00:00+01:00,2015,1,3,4,282.867,1037,100,3,322,2,449,0,0,3515,1138,202,0,0,0,2767,1221,2266,0,7097,78,67,61,201,0,9607,2,9617,21418,21145,17.1,55.29
2015-01-03 05:00:00+01:00,2015,1,3,5,282.867,1037,100,3,322,2,453,0,0,3626,1180,189,0,0,0,2953,1212,2449,0,7098,79,66,61,188,0,9666,1,9619,21317,21316,17.22,56.22
2015-01-03 06:00:00+01:00,2015,1,3,6,282.219,1036,100,3,305,2,458,0,0,3556,1246,188,0,0,0,2744,1215,2620,0,7099,77,68,61,187,0,9743,1,9733,21768,21674,20.14,58.13
2015-01-03 07:00:00+01:00,2015,1,3,7,282.219,1036,100,3,305,2,452,0,0,3524,1175,190,0,0,0,2279,1295,2559,0,7098,77,67,63,186,0,9401,37,9455,22276,22127,19.87,62.06
2015-01-03 08:00:00+01:00,2015,1,3,8,282.219,1036,100,3,305,2,438,0,0,4000,1249,190,0,0,0,2152,1295,3335,0,7097,77,66,233,186,0,8363,364,8564,22674,22756,20.22,67.36
2015-01-03 09:00:00+01:00,2015,1,3,9,283.052,1036,100,3,319,2,433,0,0,4157,1415,226,0,0,0,1081,1380,4229,0,7097,76,68,820,197,0,7924,1080,8062,24595,24654,25.22,69.21
2015-01-03 10:00:00+01:00,2015,1,3,10,283.052,1036,100,3,319,2,419,0,0,3960,1597,249,0,0,0,341,1421,4827,0,7097,76,68,1665,205,0,7592,2015,7573,26431,26454,25.13,70.35
2015-01-03 11:00:00+01:00,2015,1,3,11,286.043,1036,100,2,306,2,431,0,0,3622,1569,250,0,0,0,325,1424,4429,0,7093,76,71,2488,202,0,7874,2935,7689,27260,26959,27.1,68.77
2015-01-03 12:00:00+01:00,2015,1,3,12,286.043,1036,100,2,306,2,425,0,0,3138,1379,247,0,0,0,409,1417,4309,0,7094,76,64,3218,202,0,8192,3406,8082,27165,26716,28.71,68.82
2015-01-03 13:00:00+01:00,2015,1,3,13,286.043,1036,100,2,306,2,427,0,0,3113,1193,249,0,0,0,1095,1390,3784,0,7095,76,64,3695,208,0,8718,3743,8571,27449,26802,25,68.23
2015-01-03 14:00:00+01:00,2015,1,3,14,286.043,1036,100,2,306,2,421,0,0,3114,1155,248,0,0,0,1750,1285,3709,0,7093,77,64,3780,210,0,9152,3756,9082,27154,26416,23.68,67.97
2015-01-03 15:00:00+01:00,2015,1,3,15,287.148,1034,97,2,248,2,410,0,0,2982,1137,206,0,0,0,2141,1277,3320,0,7092,76,62,3370,202,0,9382,3373,9168,26011,25362,14.87,62.76
2015-01-03 16:00:00+01:00,2015,1,3,16,286.891,1033,88,1,265,2,397,0,0,2987,1205,190,0,0,0,2175,1279,3919,0,7092,76,61,2692,200,0,9307,2724,9502,25162,24770,11.7,62.03
2015-01-03 17:00:00+01:00,2015,1,3,17,287.131,1031,58,1,279,2,393,0,0,3169,1289,190,0,0,0,1936,1302,4256,0,7095,77,59,1931,201,0,8892,1852,9020,24691,24501,19.52,66.69
2015-01-03 18:00:00+01:00,2015,1,3,18,286.624,1031,60,1,299,2,418,0,0,3221,1399,218,0,0,0,1271,1478,4812,0,7094,78,62,1015,212,0,8568,741,8641,25293,24992,25.13,71.5
2015-01-03 19:00:00+01:00,2015,1,3,19,286.118,1034,100,1,318,2,458,0,0,3033,1539,243,0,0,0,129,1544,5753,0,7094,79,66,502,222,0,9005,103,8863,28421,27964,39.71,72.14
2015-01-03 20:00:00+01:00,2015,1,3,20,285.152,1034,100,2,36,2,462,0,0,3136,1555,244,0,0,0,0,1583,5946,0,7096,81,67,355,221,0,9672,111,9619,30293,29694,44,72.45
2015-01-03 21:00:00+01:00,2015,1,3,21,283.07,1027,51,2,36,2,462,0,0,3061,1507,245,0,0,0,0,1572,5985,0,7095,82,69,291,221,0,10081,157,10158,30828,29874,41.21,72.86
2015-01-03 22:00:00+01:00,2015,1,3,22,285.46,1028,37,2,67,2,463,0,0,3224,1441,247,0,0,0,117,1546,5519,0,7094,82,71,207,219,0,10537,136,10370,29896,28979,35.69,70.1
2015-01-03 23:00:00+01:00,2015,1,3,23,285.65,1028,35,2,29,2,456,0,0,3529,1291,248,0,0,0,587,1502,4505,0,7094,83,70,117,217,0,10953,78,10857,27700,26863,30.23,67.62
2015-01-04 00:00:00+01:00,2015,1,4,0,284.65,1028,37,2,45,2,391,0,0,3981,2559,323,0,0,0,1045,1502,1991,0,7086,81,58,692,162,0,8540,584,8564,25481,25254,24.65,55.22
2015-01-04 01:00:00+01:00,2015,1,4,1,285.35,1027,37,1,22,2,351,0,0,3997,2755,310,0,0,0,1257,1494,1867,0,7087,81,58,684,160,0,8080,640,8335,23734,23620,20.2,50.54
2015-01-04 02:00:00+01:00,2015,1,4,2,285.55,1027,49,1,22,2,350,0,0,3787,2678,306,0,0,0,1629,1484,1414,0,7086,81,57,648,161,0,7773,551,7816,22658,22606,19.16,48.68
2015-01-04 03:00:00+01:00,2015,1,4,3,285.66,1028,52,2,22,2,366,0,0,3724,2426,311,0,0,0,1962,1472,1355,0,7086,82,56,640,162,0,7601,508,7802,22130,22191,21.9,48.02
2015-01-04 04:00:00+01:00,2015,1,4,4,284.95,1027,56,1,0,2,377,0,0,3578,2046,310,0,0,0,2185,1438,1431,0,7087,82,56,563,161,0,7584,445,7570,21879,21929,14.9,47.06
2015-01-04 05:00:00+01:00,2015,1,4,5,284.55,1027,60,1,0,2,372,0,0,3676,2248,310,0,0,0,1795,1457,1534,0,7086,82,58,372,157,0,7812,288,7595,22230,22195,24.65,46.79
2015-01-04 06:00:00+01:00,2015,1,4,6,283.77,1027,65,1,0,2,377,0,0,3702,2148,320,0,0,0,1341,1352,2284,0,7085,82,54,179,155,0,7950,134,7913,23903,24035,28.01,47.63
2015-01-04 07:00:00+01:00,2015,1,4,7,283.95,1027,70,1,337,2,396,0,0,3569,2100,325,0,0,0,378,1433,3188,0,7086,82,56,129,156,0,8228,33,8239,26742,26807,27.51,47.44
2015-01-04 08:00:00+01:00,2015,1,4,8,284.15,1027,73,2,315,2,415,0,0,3314,2143,359,0,0,0,0,1561,3521,0,7080,83,53,357,156,0,8341,379,8275,28481,28316,33.96,50.84
2015-01-04 09:00:00+01:00,2015,1,4,9,285.35,1027,68,1,315,2,418,0,0,3183,2244,368,0,0,0,0,1573,4286,0,7080,84,54,1634,159,0,8569,1381,8320,29705,29871,38,54.84
2015-01-04 10:00:00+01:00,2015,1,4,10,287.95,1028,61,1,112,2,402,0,0,3168,2209,370,0,0,0,17,1451,3921,0,7079,85,55,3830,162,0,8433,3378,8529,30656,30585,37.17,59.95
2015-01-04 11:00:00+01:00,2015,1,4,11,288.05,1028,62,1,135,2,411,0,0,3207,2303,371,0,0,0,119,1519,4023,0,7083,84,60,4937,161,0,8001,4727,8199,30717,30772,35.01,59.35
2015-01-04 12:00:00+01:00,2015,1,4,12,289.35,1027,65,2,135,2,403,0,0,3279,2307,371,0,0,0,72,1533,3997,0,7085,85,57,5302,165,0,7520,5221,7698,30616,30685,38,57.03
2015-01-04 13:00:00+01:00,2015,1,4,13,290.05,1027,64,1,157,2,407,0,0,3295,2353,362,0,0,0,69,1591,3760,0,7087,86,58,5590,158,0,7274,5765,7274,30287,30429,38.12,59.22
2015-01-04 14:00:00+01:00,2015,1,4,14,288.678,1029,65,2,215,2,393,0,0,3141,2324,369,0,0,0,69,1529,3077,0,7085,85,60,5668,150,0,6878,5661,7008,29451,28741,30.4,58.56
2015-01-04 15:00:00+01:00,2015,1,4,15,289.55,1026,64,1,157,2,400,0,0,3118,2164,365,0,0,0,69,1495,2602,0,7083,85,59,5593,149,0,7517,5540,7263,28730,28249,27.58,52.07
2015-01-04 16:00:00+01:00,2015,1,4,16,289.36,1026,68,0,180,2,397,0,0,3131,2049,374,0,0,0,112,1459,2553,0,7080,85,57,5316,147,0,7999,5319,7886,28393,28105,27.56,52.15
2015-01-04 17:00:00+01:00,2015,1,4,17,288.115,1026,75,0,90,2,393,0,0,3303,2104,383,0,0,0,251,1435,2925,0,7079,87,59,4907,152,0,8181,4766,8191,28062,27908,27.5,61.12
2015-01-04 18:00:00+01:00,2015,1,4,18,286.87,1027,83,1,0,2,402,0,0,3368,2098,381,0,0,0,506,1435,3446,0,7078,84,61,4200,153,0,8260,3965,8321,27317,27577,26.53,71.98
2015-01-04 19:00:00+01:00,2015,1,4,19,287.265,1027,86,1,168,2,409,0,0,3434,2075,383,0,0,0,789,1458,4365,0,7080,84,59,2911,150,0,8156,2680,8296,27189,27418,30,74.64
2015-01-04 20:00:00+01:00,2015,1,4,20,287.66,1028,89,1,337,2,438,0,0,3604,2162,385,0,0,0,416,1538,5936,0,7082,85,59,1392,170,0,8347,1189,8158,28914,28604,39.7,75.38
2015-01-04 21:00:00+01:00,2015,1,4,21,286.294,1030,84,1,305,2,436,0,0,3874,2445,389,0,0,0,0,1616,5856,0,7084,85,57,748,177,0,8875,750,8677,30333,30346,40.48,76.49
2015-01-04 22:00:00+01:00,2015,1,4,22,286.85,1028,89,1,337,2,424,0,0,3447,2169,394,0,0,0,0,1594,4684,0,7085,85,59,696,174,0,8922,643,9036,28341,28190,37.97,73.83
2015-01-04 23:00:00+01:00,2015,1,4,23,284.87,1028,84,3,306,2,403,0,0,3390,1770,391,0,0,0,79,1467,3776,0,7088,84,59,672,166,0,8735,647,8826,26412,26270,28,69.51
2015-01-05 00:00:00+01:00,2015,1,5,0,284.602,1030,78,2,305,2,373,326,0,5338,4247,352,0,0,0,650,1182,2086,0,4036,41,72,691,158,0,7351,399,7321,25149,25069,43.49,70.77
2015-01-05 01:00:00+01:00,2015,1,5,1,284.25,1027,69,1,315,2,363,104,0,5352,3112,310,0,0,0,938,1099,2458,0,4029,41,74,668,153,0,7403,588,7474,23630,23390,35.5,64.89
2015-01-05 02:00:00+01:00,2015,1,5,2,283.77,1027,70,2,315,2,359,0,0,4791,2580,311,0,0,0,1021,1076,2140,0,4028,38,75,662,156,0,7887,566,7731,22590,21988,35.2,60.91
2015-01-05 04:00:00+01:00,2015,1,5,4,282.54,1026,82,1,337,2,334,0,0,4390,2573,308,0,0,0,2067,982,2531,0,4030,38,71,570,155,0,8348,386,8397,21369,20778,30.6,58.04
